#Amusing_Name,redshift_amusing,def_name,SN_name,SN_type,pgc,hl_names(pgc),objtype,al1950,de1950,celposb(pgc),al2000,de2000,celposj(pgc),l2,b2,sgl,sgb,f_astrom,type,bar,ring,multiple,compactness,t,e_t,logd25,e_logd25,logr25,e_logr25,pa,brief,e_brief,ut,e_ut,bt,e_bt,vt,e_vt,it,e_it,kt,e_kt,ube,bve,vmaxg,e_vmaxg,vmaxs,e_vmaxs,vdis,e_vdis,mg2,e_mg2,m21,e_m21,mfir,vrad,e_vrad,vopt,e_vopt,v,e_v,ag,ai,incl,a21,logdc,btc,ubtc,bvtc,bri25,vrot,e_vrot,m21c,hic,vlg,vgsr,vvir,v3k,modz,e_modz,mod0,e_mod0,modbest,e_modbest,mabs,e_mabs,Pointings,RA_pointing,DEC_pointing,RA_SN,DEC_SN,Source,RA_DSS,DEC_DSS,offset_RA,offset_DEC
UGC12158,0.030974,UGC12158,SN2004ef,Ia,69533,UGC12158/PGC069533/MCG+03-57-032/CGCG452-045/2MASXJ22421049+1959492,G,22.6624664,19.7350066,B223944.9+194406,22.7029139,19.997,J224210.5+195949,85.9247679,-33.4261637,310.0253744,36.0193854,0,Sb,,,,D,3.1,0.4,1.014,0.046,0.041,0.026,,,,,,15.246,0.32,,,,,11.014,0.151,,,68.29,1.91,,,,,,,15.786,0.126,,9288.7,4.6,9288.5,3.7,9288.6,2.4,0.238,0.063,25.47,0.02,1.035,14.875,,,23.987,158.8,5.22,15.764,0.889,9561.8,9478.4,9406.5,8931.0,35.693,0.115,35.46,0.03,35.475,0.116,-20.6,0.341,1.0,22:42:11,19:59:48,22:42:10,19:59:40,P95,22:42:10.49,19:59:049.2,-7.35060000006,-9.19999999999
UGC11816,0.015837,UGC11816,SN2004ey,Ia,67410,UGC11816/SDSSJ214907.30+002650.3/SDSSJ214907.29+002650.3/PGC067410/MCG+00-55-018/KIG0931/HIPASSJ2149+00/CGCG376-034/2MIG2963/2MASXJ21490730+0026509,G,21.7760344,0.2139231,B214633.7+001250,21.8186917,0.4473174,J214907.3+002650,57.4726785,-38.2682684,281.120041,44.4326597,0,Sbc,B,R,,,4.3,0.5,0.902,0.058,0.023,0.021,,22.739,0.466,16.226,0.252,14.829,0.287,,,13.575,0.323,11.499,0.11,,,52.47,1.68,,,,,,,15.346,0.186,,4747.2,3.9,4746.9,2.3,4747.0,0.8,0.596,0.039,19.08,0.02,0.957,14.163,,,23.036,160.49,6.33,15.324,1.161,4962.1,4900.0,4808.8,4402.8,34.226,0.226,34.261,0.048,34.261,0.048,-20.098,0.291,1.0,21:48:57,00:28:00,21:49:08,00:26:39,P95,21:49:07.29,00:26:50.34,10.6482000001,-11.34264
M+03-22-20,0.026645,MCG+03-22-020,SN2004gs,Ia,24286,SDSSJ083823.84+173752.8/SDSSJ083823.84+173752.7/PGC024286/NPM1G+17.0214/MCG+03-22-020/KPG166A/CGCG089-058/ARK174/2MASXJ08382384+1737526,G,8.5926621,17.8074671,B083533.6+174827,8.6399602,17.6313588,J083823.9+173753,207.9600805,31.3152395,64.8709513,-48.043628,0,E,,R,,,-3.6,1.5,0.816,0.064,0.074,0.028,41.58,22.282,0.333,16.454,0.131,15.213,0.606,,,13.465,0.096,11.081,0.068,,,,,,,,,,,,,,,,8214.0,2.4,8214.0,2.4,0.134,0.0,41.18,0.02,0.831,14.957,,,23.158,,,,,8088.9,8118.0,8202.1,8475.4,35.39,0.132,35.524,0.032,35.524,0.032,-20.567,0.606,1.0,08:38:24,17:37:53,08:38:23,17:37:40,P95,08:38:23.86,17:37:52.89,-12.8508000001,-12.89168
anon1,0.08057,2MASXJ14564322+0919361,SN2005ag,Ia,200171,SDSSJ145643.21+091936.4/PGC200171/IRAS14542+0931/2MASXJ14564322+0919361,G,14.9047569,9.5274531,B145417.1+093139,14.9453357,9.3267869,J145643.2+091936,7.8443236,55.5014597,115.0560791,31.6643827,0,SBbc,B,R,,,3.6,3.0,0.571,0.093,0.143,0.029,80.75,,,18.164,0.035,16.618,0.5,,,15.165,0.134,12.446,0.076,,,,,,,,,,,,,,,,23803.5,15.0,23803.5,15.0,0.173,0.226,45.67,0.02,0.581,16.064,,,22.957,,,,,23800.4,23832.3,23970.2,23997.5,37.778,0.045,37.62,0.08,37.74,0.079,-21.676,0.506,1.0,14:56:43,09:19:44,14:56:44,09:19:43,P95,14:56:43.21,09:19:36.43,11.8722,6.56716
anon2,0.035024,SDSSJ145931.51+164011.0,SN2005be,Ia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,14:59:33,16:40:11,14:59:33,16:40:12,P95,14:59:33,16:40:12,--,--
M+03-31-93,0.023086,MCG+03-31-093,SN2005bg,Ia,39401,SDSSJ121717.25+162217.8/SDSSJ121717.24+162217.8/SDSSJ121717.23+162217.8/PGC039401/MCG+03-31-093/KUG1214+166/IRAS12147+1638/CGCG098-131/AGC220294/2MASXJ12171723+1622172,G,12.2457882,16.6491967,B121444.8+163857,12.2881145,16.3715051,J121717.2+162217,264.8517565,76.6469826,98.1018191,-4.3041379,0,Sb,,,,C,2.8,3.0,0.804,0.065,0.059,0.028,32.12,22.309,0.288,15.977,0.047,15.107,0.327,,,14.082,0.101,12.089,0.074,,,83.1,8.86,,,,,,,15.571,0.42,13.93,6918.0,8.5,6904.3,3.3,6906.2,3.9,0.139,0.086,30.33,0.02,0.815,14.83,,,22.771,164.56,18.14,15.55,0.72,6812.6,6859.4,7019.4,7231.7,35.055,0.155,35.08,0.06,35.077,0.056,-20.247,0.332,1.0,12:17:17,16:22:16,12:17:17,16:22:18,P95,12:17:17.21,16:22:17.42,-3.18300000005,0.581639999997
anon3,0.060041,SDSSJ030110.70-003307.1,SN2005gj,Ia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,03:01:12,-0:33:14,03:01:12,-0:33:14,P95,03:01:12,-0:33:14,--,--
M+00-06-03,0.045931,MCG+00-06-003,SN2005hc,Ia,7299,SDSSJ015648.51-001245.2/SDSSJ015648.50-001245.2/PGC007299/MCG+00-06-003/CGCG387-004/2MASXJ01564849-0012454,G,1.9041457,-0.4563981,B015414.9-002723,1.9468027,-0.2126131,J015648.5-001245,155.8733976,-58.8388822,300.5180646,-14.9168805,0,Sbc,,,,,4.4,2.5,0.74,0.067,0.24,0.027,46.32,22.445,0.398,17.313,0.255,15.806,0.395,,,14.65,0.102,12.04,0.105,,,,,,,,,,,,,,,,13762.3,3.7,13762.3,3.7,0.141,0.396,56.95,0.03,0.744,15.179,,,22.802,,,,,13855.5,13801.1,13664.8,13486.5,36.514,0.079,36.7,0.03,36.677,0.093,-21.498,0.406,1.0,01:56:49,-0:12:45,01:56:48,-0:12:49,P95,01:56:48.49,00:12:45.41,-7.3458,1534.40716
anon4,0.05804,SN2005hj,SN2005hj,Ia,5070402,SN2005HJ,sn,1.4042014,-1.4973088,B012415.1-012950,1.44675,-1.2380556,J012648.3-011417,142.5456447,-62.7552293,297.4122809,-7.9850604,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.168,,,,,,,,,,,,,,,,,,,,,,,,,1.0,01:26:48,-1:14:16,01:26:48,-1:14:17,P95,01:26:048.3,-01:14:017.0,-4.49999999998,0.000159999999649
anon5,0.076452,GALEXASCJ011643.76+004738.1,SN2005ir,Ia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,01:16:44,00:47:36,01:16:44,00:47:37,P95,01:16:44,00:47:37,--,--
anon6,0.050034,2MASXJ22594265-0000478,SN2005ku,Ia,1154145,SDSSJ225942.68-000048.8/SDSSJ225942.66-000048.9/SDSSJ225942.66-000048.8/SDSSJ225942.66-000048.7/SDSSJ225942.65-000048.8/PGC1154145/NPM1G-00.0607/2MASXJ22594265-0000478,G,22.9524595,-0.2819951,B225708.9-001655,22.9951864,-0.0135672,J225942.7-000049,73.6143157,-51.8520312,287.9605384,27.6509265,0,E?,,,,,-2.5,4.6,0.594,0.078,0.353,0.037,86.87,,,17.899,0.02,16.48,0.596,,,15.723,0.17,13.722,0.079,,,,,,,,,,,,,,,,13615.3,1.7,13615.3,1.7,0.233,0.0,90.0,0.83,0.607,16.043,,,23.137,,,,,13816.3,13748.8,13629.3,13248.4,36.513,0.08,35.67,0.13,36.283,0.422,-20.241,0.73,1.0,22:59:42,-0:00:50,22:59:43,-0:00:49,P95,22:59:42.67,-00:00:48.84,4.93440000002,97.84192
M-03-07-40,0.032188,MCG-03-07-040,SN2005lu,Ia,9874,PGC009874/MCG-03-07-040/IRAS02337-1728/ESOLV5450380/ESO545-038/6dFJ0236036-171547/2MASXJ02360360-1715464,G,2.561926,-17.4801164,B023342.9-172848,2.6010021,-17.2628739,J023603.6-171546,196.1755009,-63.9203695,284.9740063,-28.2061113,0,Sbc,,R,,,3.9,2.5,1.017,0.044,0.3,0.028,164.5,24.409,1.303,,,14.5,0.2,,,13.865,0.075,12.083,0.093,,,,,,,,,,,,,12.985,,,4666.0,24.0,4666.0,24.0,0.11,0.474,62.79,0.04,1.015,13.885,,,22.79,,,,,4654.2,4627.5,4474.5,4459.0,34.073,0.243,35.98,0.04,35.98,0.04,-22.095,0.204,1.0,02:36:04,-17:15:51,02:36:04,-17:15:50,P95,02:36:03.61,-17:15:46.35,5.88660000003,-3.65396000001
NGC2930,0.022011,NGC2930,SN2005M,Ia,27404,SDSSJ093732.77+231212.2/PGC027404/NGC2930/MCG+04-23-018/CGCG122-035/2MASXJ09373277+2312121,G,9.5783428,23.4285977,B093442.0+232543,9.6257476,23.2033074,J093732.7+231212,206.8925591,46.2169131,72.9426989,-34.3879073,0,Sbc,,,,,4.4,2.7,0.697,0.077,0.363,0.036,142.26,,,15.826,0.03,14.916,0.408,,,14.422,0.071,12.089,0.117,,,,,,,,,,,,,,7376.0,8.5,7386.6,26.1,7377.0,6.2,0.136,0.589,67.45,0.04,0.695,14.143,,,21.478,,,,,7272.8,7303.9,7423.8,7669.2,35.168,0.146,35.13,0.03,35.13,0.03,-20.987,0.409,1.0,09:37:33,23:12:12,09:37:32,23:12:03,P95,09:37:32.69,23:12:11.91,-10.3704,-8.90664
UGC3634,0.026321,UGC3634,SN2005na,Ia,20020,UGC03634/PGC020020/MCG+02-18-006/2MASXJ07013676+1408068,G,6.9796679,14.2075172,B065846.8+141227,7.0268986,14.135238,J070136.8+140807,201.3967151,8.607529,29.6614588,-60.1113286,0,SBa,B,R,,,1.0,0.4,1.045,0.044,0.273,0.035,130.78,,,,,15.5,0.5,,,,,10.112,0.051,,,,,,,,,,,,,,,,7890.9,2.0,7890.9,2.0,0.337,0.239,63.65,0.04,1.066,14.826,,,24.172,,,,,7789.3,7800.0,7823.5,8044.7,35.287,0.139,35.153,0.032,35.153,0.032,-20.327,0.501,1.0,07:01:33,14:08:52,07:01:37,14:08:11,P95,07:01:36.83,14:08:06.86,2.47559999999,4.1432
NGC5185,0.024523,NGC5185,SN2006br,Ia,47422,UGC08488/SDSSJ133002.25+132457.8/SDSSJ133002.24+132457.8/PGC047422/NGC5185/MCG+02-34-025/CGCG072-104/ALFALFA1-593/AGC008488/2MFGC10857/2MASXJ13300224+1324573,G,13.4596082,13.6737819,B132734.6+134026,13.500631,13.4160473,J133002.3+132458,338.1756789,73.5868304,105.6576013,11.8500633,0,SBb,B,R,M,,3.0,0.4,1.302,0.04,0.434,0.046,57.58,23.134,0.452,15.923,0.231,14.475,0.336,,,12.648,0.299,10.272,0.078,,,277.34,3.66,,,,,,,16.353,0.095,,7373.4,4.0,7398.4,3.6,7387.3,9.0,0.106,0.608,74.16,0.06,1.295,13.705,,,24.03,288.29,3.88,16.292,2.587,7328.8,7372.0,7530.6,7671.1,35.204,0.144,35.26,0.05,35.254,0.047,-21.549,0.339,1.0,13:30:02,13:24:59,13:30:02,13:24:57,P95,13:30:02.27,13:24:57.77,-4.07400000005,-0.770280000002
M+03-41-04,0.032155,MCG+03-41-004,SN2006bt,Ia,56443,SDSSJ155633.68+200308.5/SDSSJ155633.67+200308.5/SDSSJ155633.67+200308.4/PGC056443/NPM1G+20.0457/MCG+03-41-004/CGCG108-013/2MASXJ15563364+2003082,G,15.9057886,20.1963313,B155420.8+201147,15.9426835,20.0524037,J155633.7+200309,33.7015309,47.2357668,103.7222819,47.4392718,0,S0-a,,,,,-0.2,1.0,1.028,0.067,0.078,0.044,30.24,21.397,0.232,16.289,0.046,14.763,0.164,,,13.123,0.063,10.643,0.076,,,,,,,,,,,,,,,,9617.9,2.1,9617.9,2.1,0.218,0.023,36.41,0.02,1.043,14.378,,,23.605,,,,,9711.0,9715.5,9846.2,9713.6,35.789,0.11,35.817,0.051,35.812,0.046,-21.434,0.17,1.0,15:56:31,20:02:46,15:56:31,20:02:46,P95,15:56:33.66,20:03:08.65,-39.909,-22.65332
M-01-33-34,0.008632,MCG-01-33-034,SN2006D,Ia,43690,PGC043690/MRK1337/MCG-01-33-034/IRAS12499-0930/HCG062:[ZM98]0011/2MASXJ12523471-0946363,G,12.8328802,-9.5051084,B124958.4-093018,12.8762912,-9.7765831,J125234.6-094636,303.3994424,53.094139,125.7081929,-3.2142915,0,SABa,B,,,,2.1,0.7,1.121,0.036,0.221,0.023,113.54,,,,,14.165,0.442,,,12.355,0.075,10.518,0.088,,,101.87,5.5,,,,,,,15.155,0.266,11.872,2556.5,5.4,2588.0,38.9,2557.1,4.9,0.198,0.279,56.57,0.03,1.131,13.662,,,23.186,122.07,6.66,15.124,1.462,2376.2,2449.4,2569.5,2892.1,32.873,0.422,33.083,0.048,33.083,0.048,-19.421,0.444,1.0,12:52:35,-9:46:36,12:52:34,-9:46:31,P95,12:52:34.65,-09:46:035.7,-9.7248,4.69915999999
NGC809,0.018072,NGC809,SN2006ef,Ia,7889,SDSSJ020418.97-084407.1/SDSSJ020418.97-084407.0/PGC007889/NGC0809/MCG-02-06-023/6dFJ0204190-084407/2MASXJ02041900-0844072,G,2.0307116,-8.9745303,B020150.6-085828,2.0719415,-8.7352943,J020419.0-084407,169.4637669,-64.7980718,292.4185807,-18.9330715,0,S0,,R,,,-1.7,0.7,1.047,0.042,0.11,0.023,173.47,20.915,0.368,15.856,0.099,14.586,0.327,,,12.645,0.322,10.596,0.046,,,,,,,157.59,12.7,,,,,,,,5340.0,1.5,5340.0,1.5,0.104,0.0,45.19,0.02,1.053,14.402,,,23.557,,,,,5391.3,5347.9,5199.2,5082.0,34.387,0.209,34.722,0.038,34.722,0.038,-20.32,0.33,1.0,02:04:19,-8:44:07,02:04:20,-8:43:42,P95,02:04:18.99,-08:44:07.06,15.159,25.05948
NGC191A,0.020417,NGC191A,SN2006ej,Ia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,00:38:57,-9:02:14,00:39:00,-9:00:57,P95,00:39:00,-9:00:57,--,--
anon7,0.049534,SN2006eq,SN2006eq,Ia,5070573,SN2006EQ,sn,21.4345079,1.0091518,B212604.2+010033,21.477,1.2280556,J212837.2+011341,54.6251041,-33.6242931,279.3121332,49.4679734,0,,,,,,,,,,,,,,,19.339,0.142,18.652,0.358,18.328,0.013,18.653,0.1,,,,,,,,,,,,,,,,,,,,,,0.208,,,,,18.444,,,,,,,,,,,,,,,,,,,,1.0,21:28:37,01:13:41,21:28:37,01:13:41,P95,21:28:037.2,01:13:041.0,-3.0000000002,-0.000159999999649
NGC232,0.022258,NGC0232,SN2006et,Ia,2559,VV830/PGC002559/NGC0232/MCG-04-02-040/IRAS00402-2350/ESOLV4740150/ESO474-015/DUKST474-003/6dFJ0042458-233341/2MASXJ00424586-2333418/2MASXJ00424581-2333406,G,0.6714618,-23.8351896,B004017.3-235007,0.7127052,-23.5612956,J004245.7-233341,93.6702733,-85.9302515,272.9466305,-3.5011997,0,SBa,B,R,,,1.1,0.5,0.992,0.041,0.144,0.026,17.18,20.854,0.316,,,14.455,0.177,,,,,9.946,0.071,,,135.52,10.7,,,,,,,16.85,0.266,10.608,6675.0,10.9,6768.0,32.9,6684.2,21.0,0.083,0.137,47.43,0.02,0.994,14.151,,,22.989,184.0,14.73,16.829,2.677,6728.6,6693.6,6525.4,6391.5,34.895,0.166,34.6,0.03,34.6,0.03,-20.449,0.18,1.0,00:42:46,-23:33:42,00:42:46,-23:33:30,P95,00:42:45.74,-23:33:40.66,3.9192,10.66416
anon8,0.080055,GALEXASCJ014710.29-000848.3,SN2006fw,Ia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,01:47:10,-0:08:47,01:47:10,-0:08:49,P95,01:47:10,-0:08:49,--,--
anon9,0.044771,2MASXJ00561810-0137327,SN2006gt,Ia,1114283,SDSSJ005618.08-013732.9/SDSSJ005618.07-013732.9/PGC1114283/NFPJ005618.1-013733/2MASXJ00561810-0137327,G,0.8957801,-1.8962458,B005344.8-015346,0.9383555,-1.6258145,J005618.1-013733,125.7529222,-64.4709321,294.9720924,-0.749274,0,,,,,,,,0.57,0.087,0.19,0.028,168.63,23.498,0.582,18.96,0.063,17.307,0.5,,,15.957,0.101,13.616,0.095,,,,,,,107.83,13.98,,,,,,,,13424.8,5.5,13424.8,5.5,0.161,,50.91,0.03,,17.012,,,23.897,,,,,13558.9,13497.3,13354.9,13096.5,36.464,0.081,36.492,0.022,36.49,0.021,-19.478,0.5,1.0,00:56:18,-1:37:31,00:56:17,-1:37:46,P95,00:56:18.08,-01:37:32.93,-16.197,-13.0678
anon10,0.050034,2MASXJ01135716+0022171,SN2006hx,Ia,73820,SDSSJ011357.18+002217.1/SDSSJ011357.18+002217.0/SDSSJ011357.17+002217.1/PGC073820/DRCG06-085/2MASXJ01135716+0022171,G,1.1898123,0.1068868,B011123.3+000625,1.232547,0.3714212,J011357.2+002217,134.9797051,-61.9725294,298.0933425,-4.4559525,0,S0,,R,,,-2.5,1.4,0.566,0.086,0.228,0.028,87.72,20.961,0.253,18.016,0.143,16.774,0.36,,,15.217,0.262,12.786,0.068,,,,,,,,,,,,,,,,13607.5,3.6,13607.5,3.6,0.13,0.0,68.94,0.05,0.572,16.44,,,23.317,,,,,13737.0,13675.4,13536.6,13291.0,36.499,0.08,,,36.499,0.08,-20.059,0.369,1.0,01:13:57,00:22:19,01:13:57,00:22:18,P95,01:13:57.17,00:22:17.12,-2.538,0.88368
anon11,NULL,APMUKS(BJ)B051529.79-235009.8,SN2006is,Ia,5069157,APMUKS(BJ)B051529.79-235009.8,G,5.258279,-23.8360652,B051529.8-235010,5.2929408,-23.7835614,J051734.6-234701,225.865576,-30.5427768,273.1542033,-65.7360503,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.146,,,,,,,,,,,,,,,,,,,35.65,0.04,35.65,0.04,,,1.0,05:17:34,-23:46:54,05:17:34,-23:46:54,P95,05:17:34.59,-23:47:00.82,-8.80320000003,6.82104
anon12,0.053177,2MASXJ09151727-2536001,SN2006lu,Ia,5068419,2MASXJ09151727-2536001,G,9.2179512,-25.3913494,B091304.6-252329,9.2547972,-25.6000278,J091517.3-253600,253.5502776,15.921477,139.0895856,-55.8470804,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15889.0,60.0,15889.0,60.0,0.5,,,,,,,,,,,,,15597.1,15674.5,15698.6,16197.8,36.827,0.07,,,36.827,0.07,,,1.0,09:15:17,-25:36:00,09:15:18,-25:36:00,P95,09:15:17.27,-25:36:000.1,10.9512000001,0.100079999993
UGC1333,0.059201,UGC1333,SN2006ob,Ia,6888,UGC01333/SDSSJ015148.51+001549.8/SDSSJ015148.51+001549.7/SDSSJ015148.50+001549.8/SDSSJ015148.50+001549.7/PGC006888/MCG+00-05-041/CGCG386-046/2MASXJ01514849+0015499,G,1.8207462,0.0171727,B014914.7+000102,1.8634769,0.2638334,J015148.5+001550,153.301314,-59.0014055,300.6296866,-13.5836458,0,Sb,,,M,,2.9,0.7,0.962,0.052,0.133,0.025,99.67,22.221,0.672,17.406,0.303,15.549,0.266,,,13.617,0.385,11.413,0.1,,,,,,,,,,,,,,,,17736.8,3.8,17736.8,3.8,0.143,0.195,44.49,0.02,0.97,15.077,,,23.876,,,,,17836.1,17780.3,17644.2,17455.4,37.089,0.061,37.08,0.094,37.086,0.051,-22.009,0.271,1.0,01:51:48,00:15:50,01:51:48,00:15:48,P95,01:51:48.52,00:15:049.8,-7.75259999999,-1.80024
UGC2384,0.032842,UGC02384,SN2006os,Ia,10998,UGC02384/PGC010998/MCG+03-08-028/CGCG463-031/2MASXJ02550056+1600445,G,2.8704787,15.8101088,B025213.7+154836,2.9168222,16.0123611,J025500.6+160044,161.3790276,-37.4675804,321.8720566,-22.8264632,0,Sb,,,,,3.4,1.6,0.964,0.048,0.443,0.028,130.6,,,,,15.055,0.319,,,13.0,0.1,10.716,0.071,,,,,,,,,,,,,,9836.0,10.3,9836.3,10.1,9836.2,4.8,0.634,0.65,74.19,0.06,1.006,13.697,,,22.875,,,,,9941.8,9883.9,9793.3,9625.7,35.779,0.111,35.675,0.046,35.69,0.043,-21.993,0.322,1.0,02:55:01,16:00:45,02:55:01,16:00:35,P95,02:55:00.56,16:00:044.5,6.60119999999,-9.49996
E544-G31,0.05299,ESO544-G031,SN2006ot,Ia,8610,PGC008610/NPM1G-20.0085/ESOLV5440310/ESO544-031/6dFJ0215046-204604/2MIG0262/2MASXJ02150461-2046037,G,2.2124772,-20.9999927,B021244.9-210000,2.2512796,-20.7677367,J021504.6-204604,199.0123703,-69.8912154,280.283639,-23.8334521,0,Sa,,,,,1.4,1.3,0.981,0.04,0.306,0.027,6.24,21.973,0.34,,,15.402,0.217,,,13.115,0.079,10.926,0.133,,,,,,,,,,,,,,,,15900.0,34.7,15900.0,34.7,0.076,0.306,66.31,0.04,0.976,14.821,,,23.681,,,,,15890.8,15864.5,15704.0,15676.6,36.827,0.069,35.94,0.18,36.713,0.443,-21.891,0.494,1.0,02:15:05,-20:46:02,02:15:05,-20:45:58,P95,02:15:04.61,-20:46:03.85,5.90160000001,5.85212
anon13,0.058357,SN2006py,SN2006py,Ia,5070810,SN2006PY,sn,22.6522559,-0.3987423,B223908.1-002355,22.695,-0.1369444,J224142.0-000813,68.4433004,-48.7849648,286.2019073,31.889115,0,,,,,,,,,,,,,,,18.594,0.052,18.225,0.364,18.019,0.013,18.556,0.1,,,,,,,,,,,,,,,,,,,,,,0.26,,,,,17.965,,,,,,,,,,,,,,,,,,,,1.0,22:41:42,-0:08:13,22:41:42,-0:08:13,P95,22:41:042.0,00:08:013.0,0.0,985.99984
anon14,0.012078,2MASXJ09591870-1928233,SN2007al,Ia,3749746,HCG042:[ZM98]0028/HCG042:[CMI2006]F02-4007/6dFJ0959187-192823/2MASXJ09591870-1928233,G,9.9491282,-19.2330248,B095656.9-191359,9.9885295,-19.4730036,J095918.7-192823,256.4509243,27.4737208,128.409445,-46.0442987,0,,,,,,,,,,,,5.0,,,,,16.35,0.5,14.17,0.071,,,12.346,0.077,,,,,,,,,,,,,,,,3637.7,15.1,3637.7,15.1,0.182,,,,,16.132,,,,,,,,3359.4,3438.9,3496.0,3981.8,33.54,0.31,34.18,0.098,34.122,0.32,-17.99,0.594,1.0,09:59:19,-19:28:24,09:59:18,-19:28:26,P95,09:59:18.71,-19:28:22.81,-10.5930000001,-3.18704
UGC9798,0.037692,UGC09798,SN2007ba,Ia,54516,UGC09798/PGC054516/CGCG049-087/2MASXJ15164182+0723492,G,15.2374058,7.5801173,B151414.7+073448,15.2782833,7.397,J151641.8+072349,9.891204,50.3420494,118.6950585,36.0247225,0,S0-a,,,,,-0.1,0.4,1.066,0.045,0.319,0.034,166.26,,,,,15.337,0.321,,,,,10.696,0.095,,,,,,,,,,,,,,,,11300.0,70.2,11300.0,70.2,0.16,0.112,71.08,0.05,1.066,14.896,,,24.23,,,,,11307.2,11336.5,11465.5,11469.3,36.13,0.096,35.807,0.094,35.966,0.161,-21.07,0.359,1.0,15:16:42,07:23:49,15:16:43,07:23:48,P95,15:16:41.82,07:23:049.2,17.7018,-1.2
UGC6332,0.020831,UGC06332,SN2007bc,Ia,34630,UGC06332/SDSSJ111916.62+204848.8/SDSSJ111916.61+204848.8/SDSSJ111916.61+204848.7/PGC034630/MCG+04-27-019/CGCG126-030/AGC006332/2MASXJ11191665+2048488,G,11.2772796,21.0872595,B111638.2+210514,11.3212846,20.8135641,J111916.6+204849,224.6662952,68.0594248,88.9514887,-15.595982,0,Sa,B,R,,,1.0,0.4,1.064,0.084,0.076,0.049,152.31,21.604,0.558,15.688,0.171,14.332,0.318,,,12.637,0.069,10.209,0.12,,,127.31,13.57,,,,,,,16.971,0.42,,6245.0,8.5,6221.3,1.8,6222.2,3.5,0.094,0.073,35.17,0.02,1.069,14.087,,,23.302,221.03,24.6,16.95,2.863,6123.5,6165.4,6318.8,6549.7,34.825,0.172,34.82,0.02,34.82,0.02,-20.733,0.319,1.0,11:19:17,20:48:48,11:19:15,20:48:33,P95,11:19:16.62,20:48:48.83,-24.3684,-15.83076
E508-G75,0.033246,E508-G75,SN2007cg,Ia,46959,PGC046959/IRAS13228-2423/ESOLV5080750/ESO508-075/AGC029613/6dFJ1325334-243909/2MASXJ13253335-2439085,G,13.3801854,-24.3924876,B132248.7-242333,13.4259386,-24.652353,J132533.4-243908,312.7239673,37.5698556,142.1864878,0.1895686,0,Sc,,,,,5.0,2.0,0.896,0.066,0.539,0.055,172.82,20.763,0.49,,,15.998,0.198,,,15.73,1.175,11.722,0.085,,,166.0,2.7,,,,,,,,,13.538,,,9939.0,32.2,9939.0,32.2,0.354,0.891,77.8,0.08,0.907,14.697,,,23.216,169.84,2.79,,,9733.4,9813.0,9896.8,10236.0,35.807,0.11,35.44,0.05,35.503,0.184,-20.806,0.27,1.0,13:25:34,-24:39:06,13:25:34,-24:39:08,P95,13:25:33.38,-24:39:08.47,9.31559999991,0.470800000009
NGC7461,0.014249,NGC7461,SN2007hj,Ia,70290,UGC12314/PGC070290/NGC7461/MCG+02-58-056/CGCG430-051/2MASXJ23014831+1534566,G,22.9886873,15.3133078,B225919.3+151848,23.0300861,15.5823889,J230148.3+153457,87.7500319,-39.6844158,305.4907164,30.8223046,0,S0,B,,,,-1.9,0.5,0.971,0.049,0.052,0.029,166.0,,,,,14.482,0.199,,,,,10.113,0.063,,,,,,,160.88,3.76,,,,,,,,4236.5,19.4,4236.5,19.4,0.383,0.0,31.55,0.02,1.012,14.036,,,23.087,,,,,4492.1,4410.7,4322.3,3871.0,33.993,0.251,33.804,0.045,33.804,0.045,-19.768,0.204,1.0,23:01:48,15:35:01,23:01:48,15:35:11,P95,23:01:48.31,15:34:056.6,-4.64939999993,14.39996
anon15,0.080055,SN2007hx,SN2007hx,Ia,5070985,SN2007HX,sn,2.06499,-1.1373558,B020354.0-010814,2.1075278,-0.8994444,J020627.1-005358,160.5099504,-58.1891955,300.5318665,-17.4235286,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.152,,,,,,,,,,,,,,,,,,,,,,,,,1.0,02:06:27,-0:53:58,02:06:27,-0:53:58,P95,02:06:027.1,00:53:058.0,-1.50120000002,6475.99984
