#Amusing_Name,redshift_amusing,def_name,SN_name,SN_type,pgc,hl_names(pgc),objtype,al1950,de1950,celposb(pgc),al2000,de2000,celposj(pgc),l2,b2,sgl,sgb,f_astrom,type,bar,ring,multiple,compactness,t,e_t,logd25,e_logd25,logr25,e_logr25,pa,brief,e_brief,ut,e_ut,bt,e_bt,vt,e_vt,it,e_it,kt,e_kt,ube,bve,vmaxg,e_vmaxg,vmaxs,e_vmaxs,vdis,e_vdis,mg2,e_mg2,m21,e_m21,mfir,vrad,e_vrad,vopt,e_vopt,v,e_v,ag,ai,incl,a21,logdc,btc,ubtc,bvtc,bri25,vrot,e_vrot,m21c,hic,vlg,vgsr,vvir,v3k,modz,e_modz,mod0,e_mod0,modbest,e_modbest,mabs,e_mabs,Pointings,RA_pointing,DEC_pointing,RA_SN,DEC_SN,Source,RA_DSS,DEC_DSS,offset_RA,offset_DEC
NGC5584,0.005464,NGC5584,SN2007af,Ia,51344,[FN2007]1771/UGC09201/SDSSJ142223.77-002315.5/SDSSJ142223.76-002315.7/SDSSJ142223.76-002315.5/SDSSJ142223.75-002315.7/PGC051344/NIBLES2117/NGC5584/MCG+00-37-001/KIG0626/IRAS14198-0009/HIPEQJ1422-00/HIPASSJ1422-00/GAMAJ142223.76-002315.6/GAMA063349/CGCG019-008/2MIG1973/2MASXJ14222381-0023148,G,14.3305052,-0.1603571,B141949.8-000937,14.3732703,-0.3876275,J142223.8-002315,345.1141861,54.8559094,123.0419439,20.8766843,0,SABc,B,,,,5.9,0.3,1.496,0.021,0.126,0.023,153.84,,,14.394,0.251,12.774,0.665,,,11.921,0.59,11.998,0.318,,,84.08,1.84,,,,,,,14.035,0.097,12.117,1638.0,2.7,1654.9,1.6,1650.3,5.4,0.17,0.223,42.41,0.02,1.507,12.374,,,23.747,124.69,2.88,14.013,1.639,1576.6,1626.8,1757.6,1897.8,32.067,0.617,32.252,0.034,32.252,0.034,-19.878,0.666,1.0,14:22:21.03,-00:23:35.6,14:22:21,-0:23:38,P97,14:22:23.77,00:23:15.46,-41.5962,2813.459
UGC12859,0.016870,UGC12859,SN2007fb,Ia,72995,UGC12859/PGC072995/MCG+01-01-001/CGCG408-002/2MFGC17981/2MASXJ23565154+0530303,G,23.9049727,5.2300014,B235417.9+051348,23.9476517,5.5083549,J235651.5+053030,98.8957012,-54.7961327,297.9217302,15.458577,0,Sbc,,,,,4.0,0.3,1.135,0.045,0.435,0.027,98.0,,,,,15.424,0.323,,,,,10.974,0.061,,,161.89,5.26,,,,,,,16.157,0.168,,5404.7,5.4,5402.0,60.0,5404.7,3.9,0.24,0.68,72.83,0.06,1.14,14.469,,,24.071,169.44,5.53,16.1,1.631,5603.5,5530.3,5407.1,5041.9,34.472,0.201,,,34.472,0.201,-20.002,0.38,1.0,23:56:52.44,+05:30:32.8,23:56:52,5:30:32,P97,23:56:51.55,05:30:30.08,6.8081999998,1.92236
ESO601-G05,0.017192,ESO601-G05,SN2007fs,Ia,67855,PGC191133/PGC067855/MCG-04-52-004/ESOLV6010050/ESO601-005/AGC034954/6dFJ2201380-213040/2MFGC16607/2MASXJ22013796-2130402,G,21.980829,-21.7525035,B215851.0-214509,22.0272183,-21.5112162,J220138.0-213040,31.7157398,-51.0906313,258.5929527,31.0281122,0,Sbc,,,,,3.5,1.5,1.22,0.027,0.731,0.024,65.29,21.825,0.702,,,15.087,0.198,,,13.097,0.063,11.021,0.086,,0.92,145.07,2.31,,,,,,,15.48,0.092,,5189.7,7.1,5191.3,27.8,5189.8,4.8,0.146,1.023,90.0,0.83,1.204,13.885,,,23.756,145.07,,14.654,0.769,5302.0,5265.7,5137.4,4880.0,34.37,0.211,,,34.37,0.211,-20.485,0.289,2.0,22:01:40.14/22:01:36.00,-21:30:38.0/-21:30:40.0,22:01:40,-21:30:30,P97,22:01:37.99,-21:30:40.38,30.2118000001,10.37832
ESO298-G28,0.016895,ESO298-G28,SN2007gj,?,8871,PGC200044/PGC008871/MCG-06-06-002/HIPASSJ0219-37/ESOLV2980280/ESO298-028/DUKST298-001/6dFJ0219376-374908/2MIG0273/2MASXJ02193761-3749074,G,2.2926304,-38.0478432,B021733.5-380252,2.3271139,-37.81875,J021937.6-374908,248.4747905,-68.627762,261.5955632,-26.1310798,0,Sbc,,,,,3.8,0.8,1.373,0.027,0.319,0.023,20.28,22.436,0.31,,,13.641,0.183,,,11.705,0.079,10.115,0.075,,,206.27,6.75,,,,,,,14.439,0.086,,5069.2,5.9,5056.7,19.6,5068.1,4.6,0.106,0.498,64.43,0.04,1.37,13.004,,,23.685,228.67,7.54,14.4,1.397,4984.1,4981.8,4814.8,4897.5,34.226,0.225,,,34.226,0.225,-21.223,0.29,3.0,02:19:38.22/02:19:37.60/02:19:36.48,-37:48:49.0/-37:49:08.0/-37:49:29.0,2:19:34,-37:48:44,P97,02:19:37.61,-37:49:007.5,-54.1506,23.5
NGC7721,0.006721,NGC7721,SN2007le,Ia,72001,PGC1031813/PGC072001/NGC7721/MCG-01-60-017/LGG481:[G93]001/IRAS23362-0647/HIPASSJ2338-06/AGC630233/2MASXJ23384864-0631043,G,23.6038876,-6.7950769,B233614.0-064742,23.6468129,-6.5179905,J233848.5-063105,79.7098484,-63.1212992,284.5981306,16.3477971,1,Sc,,,,,4.9,0.5,1.489,0.027,0.6,0.028,16.2,22.134,0.388,12.094,0.077,12.244,0.077,11.667,0.082,10.629,0.064,8.725,0.094,-0.095,0.705,139.97,1.83,,,,,,,13.491,0.097,11.437,2014.9,2.8,2013.5,6.4,2014.7,1.9,0.145,0.978,81.44,0.11,1.478,11.11,-0.264,0.461,22.33,141.55,1.86,13.38,2.27,2173.1,2112.4,1971.6,1657.3,32.298,0.55,32.514,0.038,32.514,0.038,-21.404,0.086,1.0,23:38:48.41,-06:31:21.3,23:38:48,-6:31:21,P97,23:38:48.53,-06:31:04.77,-7.89660000012,-16.2342
UGC7798,0.006716,UGC7798,SN2007rw,II,42195,UGC07798/SDSSJ123803.34-021549.5/SDSSJ123803.24-021551.4/SDSSJ123803.22-021551.9/PGC042195/MCG+00-32-026/KIG0540/EVCC0974/CGCG014-081/6dFJ1238033-021550/2MASXJ12380332-0215494/2DFGRSN185Z217,G,12.591425,-1.9891811,B123529.1-015921,12.6342461,-2.2640067,J123803.3-021550,296.1450454,60.4312605,117.4865978,-4.6931765,0,I,B,,M,,9.5,1.6,0.986,0.044,0.182,0.026,57.23,21.465,0.389,15.411,0.045,14.338,0.043,,,13.536,0.324,11.768,0.155,,,82.16,7.51,,,,,,,16.056,0.28,,2568.0,9.4,2591.2,1.1,2590.9,2.1,0.144,0.338,56.04,0.03,0.992,13.855,,,22.631,99.06,9.14,16.026,2.171,2428.7,2496.1,2630.7,2933.9,32.907,0.412,,,32.907,0.412,-19.052,0.415,1.0,12:38:03.23,-02:15:51.0,12:38:04,-2:15:40,P97,12:38:03.29,-02:15:50.42,10.7106,10.42412
NGC1590,0.013756,NGC1590,SN2007rz,Ic,15368,UGC03071/PGC015368/NGC1590/MCG+01-12-008/LGG120:[G93]015/KUG0428+075/IRAS04284+0731/CGCG419-014/2ZW013/2MIG0574/2MASXJ04311020+0737513,G,4.4745136,7.5241731,B042828.2+073127,4.5195,7.6309167,J043110.2+073751,187.957696,-26.5032239,327.1101836,-47.419384,0,Sc,,,,,5.0,2.0,0.953,0.093,0.051,0.048,110.0,,,14.568,0.044,14.488,0.044,13.688,0.044,,,10.264,0.021,0.11,0.72,133.64,9.02,,,,,,,15.695,0.198,12.038,3927.0,5.5,3897.0,6.0,3913.3,10.9,0.872,0.088,27.86,0.02,1.033,13.506,-0.087,0.567,22.895,285.97,21.41,15.673,2.167,3898.8,3873.5,3801.4,3843.6,33.709,0.285,,,33.709,0.285,-20.203,0.289,1.0,04:31:10.13,+07:37:50.0,4:31:11,7:37:52,P97,04:31:010.2,07:37:051.3,11.9999999999,0.699879999999
NGC4038,0.005477,NGC4038,SN2007sr,Ia,37967,VV245:/UGCA264/PGC037967/NGC4038/MRC1159-185/MCG-03-31-014/LGG263:[G93]008/IRAS11593-1835/HIPASSJ1201-18/ESOLV5720481/ESOLV5720470/ESO572-047/ARP244:/6dFJ1201530-185204/2MASXJ12015300-1852033,G,11.9886667,-18.5897894,B115919.2-183523,12.0313932,-18.8682165,J120153.0-185206,286.9589455,42.4613953,131.7795143,-17.2688392,0,SBm,B,,,,8.9,0.5,1.734,0.025,0.156,0.043,,21.642,0.238,10.66,0.109,10.85,0.109,10.2,0.109,9.47,0.093,7.705,0.159,-0.17,0.705,133.15,5.91,,,,,,,13.161,0.239,,1644.0,5.7,1626.2,5.1,1634.0,6.8,0.201,0.288,51.94,0.03,1.747,10.359,-0.254,0.561,22.94,169.12,7.78,13.134,2.775,1393.5,1477.0,1571.3,1987.7,31.809,0.691,31.945,0.044,31.945,0.044,-21.587,0.118,1.0,12:01:52.94,-18:58:19.7,12:01:53,-18:58:22,P97,12:01:53.02,-18:52:05.58,-0.232800000026,-376.4206
2MASXJ16152860+1913344,0.032753,2MASXJ16152860+1913344,SN20080612,Ia,1584809,SDSSJ161528.62+191333.8/SDSSJ161528.61+191333.8/SDSSJ161528.61+191333.7/PGC1584809/2MASXJ16152860+1913344,G,16.221051,19.3498605,B161315.8+192059,16.2579499,19.2260661,J161528.6+191334,34.6622575,42.7571897,105.1648879,51.8719161,0,E,,,M,,-5.0,3.0,0.756,0.068,0.33,0.028,95.58,23.712,0.204,18.928,0.056,17.375,0.5,,,15.955,0.058,13.642,0.099,,,,,,,,,,,,,,,,9788.2,5.6,9788.2,5.6,0.216,0.0,90.0,0.83,0.778,17.011,,,24.97,,,,,9894.7,9895.3,10017.3,9857.6,35.826,0.108,,,35.826,0.108,-18.814,0.512,1.0,16:15:28.67,+19:13:35.0,16:15:28,19:13:36,P97,16:15:28.62,19:13:33.84,-9.29459999996,2.16204
MCG-02-07-33,0.015874,MCG-02-07-33,SN2008J,IIn,9800,PGC009800/MCG-02-07-033/LGG063:[G93]005/IRAS02319-1103/HIPASSJ0234-10/AGC420143/6dFJ0234245-105037/2MASXJ02342450-1050372,G,2.5329952,-11.062229,B023158.8-110344,2.5734774,-10.8437144,J023424.5-105037,183.9827119,-60.8244326,292.0000475,-26.630339,0,SBbc,B,,,,3.9,0.6,1.282,0.032,0.399,0.022,72.0,,,,,13.895,0.394,,,12.112,0.16,10.208,0.077,,0.88,178.67,2.65,,,,,,,14.424,0.087,12.251,4776.9,4.5,4770.0,10.5,4775.8,3.5,0.098,0.621,70.43,0.05,1.275,13.145,,,23.344,189.62,2.85,14.374,1.229,4792.4,4757.5,4611.7,4555.7,34.132,0.235,33.973,0.349,34.082,0.195,-20.937,0.44,3.0,02:34:26.64/02:34:24.57/02:34:23.57,-10:50:35.0/-10:50:36.0/-10:50:36.0,2:34:24,-10:50:39,P97,02:34:24.52,-10:50:37.37,-7.77959999998,-1.62816000001
NGC1591,0.013719,NGC1591,SN2008V,II,15276,PGC015276/NGC1591/MCG-04-11-015/IRAS04274-2649/ESOLV4840250/ESO484-025/AGC023484/6dFJ0429306-264247/2MASXJ04293054-2642472,G,4.457737,-26.8214213,B042727.9-264917,4.4918167,-26.7131528,J042930.5-264247,225.6110872,-41.7922616,272.2581313,-54.4932797,0,SBab,B,R,,,2.0,1.5,1.143,0.031,0.222,0.023,29.34,21.297,0.307,,,13.688,0.296,,,12.084,0.095,10.224,0.073,,0.82,118.0,1.92,,,,,,,15.849,0.181,12.241,4112.0,6.7,4102.2,8.5,4108.3,5.1,0.155,0.271,56.8,0.03,1.148,13.22,,,22.825,141.02,2.36,15.818,2.598,3963.8,3975.3,3851.5,4068.4,33.733,0.282,,,33.733,0.282,-20.512,0.409,1.0,04:29:31.37,-26:42:38.8,4:29:31,-26:42:40,P97,04:29:30.54,-26:42:47.35,6.89819999998,7.35007999999
MCG-02-33-20,0.007972,MCG-02-33-20,SN2008aq,IIb,43458,[RC2]A1247-10/PGC043458/MCG-02-33-020/LGG304:[G93]003/IRAS12479-1035/IRAS12478-1035/HIPASSJ1250-10/DDO151/6dFJ1250294-105116/2MASXJ12502941-1051158,G,12.7980432,-10.5823745,B124753.0-103457,12.8415028,-10.8544028,J125029.4-105116,302.5538056,52.0166598,126.6138255,-3.9942509,0,Sm,B,,,,9.0,1.1,1.516,0.034,0.51,0.028,175.0,23.332,0.284,13.151,0.098,13.271,0.098,12.811,0.098,12.149,0.291,10.561,0.789,-0.075,0.555,117.41,3.37,,,,,,,13.884,0.116,,2389.4,4.6,2397.8,6.7,2392.1,3.9,0.194,0.938,90.0,0.83,1.514,12.136,-0.241,0.291,23.551,117.41,,13.058,0.923,2205.9,2280.2,2397.9,2728.2,32.734,0.452,32.396,0.303,32.5,0.252,-20.365,0.27,1.0,12:50:30.15,-10:52:05.4,12:50:30,-10:52:01,P97,12:50:29.41,-10:51:15.85,8.84879999996,-45.14992
