# Galaxy                      RA                DEC            RED
SN2013as            11:52:52.00     -18:59:19.00     0.070048
SN2013ao            11:44:44.00     -20:31:41.00     0.030020
2MASXJ02022241-6544090            02:02:22.00     -65:44:09.00     NULL    
CGCG008-023            10:01:12.00     +00:19:46.00     0.034527
2MASXiJ0401529-263947            04:01:53.00     -26:39:50.00     0.070000
2MASXJ03194423-2700201            03:19:44.00     -27:00:26.00     0.069400
GALEXASCJ110738.65-294235.5            11:07:39.00     -29:42:41.00     0.060000
anon-46-null            02:35:18.00     -30:57:49.00     0.160000
GALEXASCJ024043.58-344425.0            02:40:43.00     -34:44:26.00     0.100000
2MASXJ06070178-6921180            06:07:02.00     -69:21:17.00     NULL    
NGC7580            23:17:37.00     +14:00:04.00     0.015967
ESO487-G004            05:22:17.00     -25:36:27.00     0.031242
LSQ12fuk            04:58:16.00     -16:17:58.00     0.020000
GALEXASCJ100357.15-061438.0            10:03:57.00     -06:14:38.00     NULL    
ESO510-G034            13:59:42.00     -25:22:43.00     0.037906
anon51-null            12:38:16.00     -15:06:32.00     NULL    
GALEXASCJ101741.80-072452.2            10:17:42.00     -07:24:54.00     0.060000
GALEXASCJ105517.85-141757.2            10:55:18.00     -14:18:01.00     0.100000
2MASXJ05310364-1948063            05:31:04.00     -19:47:59.00     0.105000
IC0803NED01            12:39:36.00     +16:35:16.00     0.025017
NGC0975            02:33:23.00     +09:36:06.00     0.020384
CGCG048-051            14:53:23.00     +02:58:00.00     0.027762
SN2011jq            05:16:41.00     +06:29:29.00     0.032680
PGC170294            13:45:36.50     -07:19:35.00     0.024310
PGC004701            01:18:43.20     -07:27:05.00     0.017752
NGC7068            21:26:32.40     +12:11:03.00     0.017289
UGC01395            01:55:22.00     +06:36:43.00     0.017405
NGC1954            05:32:48.30     -14:03:46.00     0.010441
PGC057687            16:16:33.80     -00:35:20.00     0.016433
CGCG051-075            16:17:11.00     +04:33:15.00     0.018000
PGC067159            21:40:38.90     +06:30:35.00     0.023063
PGC055442            15:33:48.90     +21:08:10.00     0.023576
PGC002414            00:40:10.50     -10:26:26.00     0.027219
NGC2765            09:07:36.60     +03:23:34.00     0.012549
PGC2816341            03:02:11.10     +15:55:39.00     0.017000
KUG1237+183            12:40:11.30     +18:03:42.00     0.026400
UGC11037            17:55:05.40     +18:15:26.00     0.010431
GALEXASCJ234448.27-020653.4            23:44:48.20     -02:06:54.00     0.006700
SDSSJ102131.91+082419.8            10:21:31.90     +08:24:20.00     0.032668
CGCG103-030            13:58:13.10     +17:31:52.00     0.022447
CGCG023-005            15:57:30.30     +01:06:43.00     0.033340
2MASXJ12470274-2414435            12:47:02.70     -24:14:44.00     0.024797
ESO075-G049            22:02:01.80     -70:02:30.00     0.037519
NGC2466            07:45:16.00     -71:24:38.00     0.017722
ESO506-G004            12:21:49.00     -24:10:06.00     0.013416
ESO319-G015            11:21:57.90     -37:53:58.00     0.009159
UGC11860            21:57:59.70     +24:16:00.00     0.010424
MRK0842            15:05:54.80     +12:44:39.00     0.022202
MCG-05-52-046            22:12:10.40     -27:49:38.00     0.028733
PGC007377            01:57:36.10     +16:46:22.00     0.026819
MCG-01-38-015            15:00:38.80     -03:51:30.00     0.022722
2MASXJ20220000-5147474            20:22:00.00     -51:47:48.00     0.019597
ESO416-G039            02:52:22.30     -31:49:02.00     0.022589
PGC043070            12:46:14.90     -40:48:47.00     0.015367
GALEXASCJ203406.21-015759.2            20:34:06.20     -01:57:59.00     0.020000
MCG-01-60-044            23:49:06.70     -07:02:55.00     0.027169
NGC0337            00:59:50.10     -07:34:41.00     0.005490
2MASXJ21303015-7038489            21:30:30.20     -70:38:49.00     0.038920
2MASXJ01504127-1431032            01:50:41.30     -14:31:03.00     0.033620
ESO058-G012            06:43:21.60     -69:38:30.00     0.015000
ESO113-G032            01:16:04.90     -61:37:20.00     0.029000
MCG-04-53-013            22:34:29.80     -24:39:52.00     0.033466
2MASXJ22164085-3609399            22:16:40.80     -36:09:41.00     0.030800
2MASXJ00453260-1415328            00:45:32.60     -14:15:33.00     0.021989
ESO462-G009            20:21:51.50     -31:17:23.00     0.019277
ESO467-G051            22:23:16.60     -28:58:51.00     0.006031
2MASXJ07353554-6246099            07:35:35.50     -62:46:10.00     0.011325
PGC128348            23:33:12.20     -60:34:20.00     0.014827
GALEXASCJ184443.33-524819.2            18:44:43.30     -52:48:19.00     0.012000
2MASXJ22532475+0447583            22:53:24.70     +04:47:58.00     0.026000
ESO253-G003            05:25:18.10     -46:00:21.00     0.042489
GALEXASCJ003952.48-380347.3            00:39:52.60     -38:03:49.00     0.023000
2MASXJ23451480-2947009            23:45:14.80     -29:47:00.00     0.033600
GALEXASCJ125413.02-073849.5            12:54:13.10     -07:38:50.00     0.014000
UGC06837            11:51:52.50     +18:32:47.00     0.019930
NGC4666            12:45:08.60     -00:27:43.00     0.005101
2MASXJ22571481-2058014            22:57:14.80     -20:58:01.00     0.026191
IC0299            03:11:02.50     -13:06:35.00     0.032046
2MASXJ14103977-0241003            14:10:39.70     -02:41:01.00     0.026995
LCRSB232926.0-413242            23:32:07.40     -41:16:10.00     0.049194
PGC043234            12:48:15.20     +17:46:26.00     0.020600
GALEXASCJ010647.95-465904.1            01:06:47.90     -46:59:04.00     0.016000
anon77-null            23:55:09.00     +10:12:53.00     0.013700
ESO113-G047            01:26:40.10     -57:59:51.00     0.018000
GALEXASCJ000454.54-322615.3            00:04:54.60     -32:26:16.00     0.031100
GALEXASCJ025358.03-213854.7            02:53:58.10     -21:38:55.00     0.031000
PGC006240            01:41:30.90     -65:36:56.00     0.027406
ESO325-G045            14:03:08.50     -38:28:31.00     0.017842
NGC3449            10:52:53.60     -32:55:39.00     0.010921                 
NGC2906            09:32:06.20     +08:26:30.00     0.007138    
ESO362-G018            05:19:35.80     -32:39:27.00     0.012445      
NGC6754            19:11:25.70     -50:38:31.00     0.010864      
NGC7742            23:44:15.70     +10:46:01.00     0.005547      
IC1158            16:01:34.10     +01:42:28.00     0.006428      
NGC7469            23:03:15.60     +08:52:26.00     0.016317      
